N1,N2,STRING Score,Type
CD14,FCGR3A,0.43,Hetero
CD14,ITGB2,0.736,Hetero
CD2,CD4,0.403,Hetero
CD2,IL7R,0.53,Hetero
CD2,ICOS,0.781,Hetero
CD2,CD5,0.67,Hetero
CD2,CD52,0.588,Hetero
CD2,CD8A,0.802,Hetero
CD4,IL7R,0.488,Hetero
CD4,CD5,0.941,Hetero
CD4,CD8A,0.914,Hetero
CD4,CXCR4,0.555,Hetero
CD47,ITGB1,0.589,Hetero
CD52,CD69,0.402,Hetero
CD52,ITGB2,0.43,Hetero
CD69,ICOS,0.414,Hetero
CD8A,HLA-F,0.912,Hetero
CD8A,KLRD1,0.658,Hetero
FCGR2A,ITGAX,0.401,Hetero
FCGR2A,FCGR3A,0.562,Homo
HLA-F,KLRD1,0.675,Hetero
ICAM1,ITGB2,0.975,Hetero
ITGA2B,ITGA4,0.54,Homo
ITGA2B,ITGAX,0.568,Homo
ITGA2B,ITGB7,0.604,Hetero
ITGA2B,ITGB1,0.828,Hetero
ITGA2B,ITGB2,0.607,Hetero
ITGA4,ITGB7,0.998,Hetero
ITGA4,ITGB1,0.975,Hetero
ITGA4,ITGAX,0.73,Homo
ITGA4,ITGB2,0.92,Hetero
ITGAX,ITGB7,0.759,Hetero
ITGAX,ITGB1,0.91,Hetero
ITGAX,ITGB2,0.998,Hetero
ITGB1,ITGB7,0.9,Homo
ITGB1,ITGB2,0.902,Homo
ITGB2,ITGB7,0.917,Homo
